STATIONNAME,CDEC ID,USGS ID,USACE ID,CNRFC ID,lat,lon,Elevation (feet),RIVER_BASIN,COUNTY,OPERATOR,Gage Type
MARTIS CREEK RESERVOIR,MRT,,,,39.327,-120.113,5745,TRUCKEE R,NEVADA,US Army Corps of Engineers,temp
SHAVER,SAV,,,,37.135,-119.25611,5746,SAN JOAQUIN R,FRESNO,CAL FIRE,temp
MANZANITA LAKE (CDF),MNZ,,,,40.543,-121.582,5750,SACTO VLY NE,SHASTA,US Forest Service,temp
BARREL SPRINGS,BRR,,,,41.9111,-119.9389,5835,PIT R,State of Nevada,US Bureau of Land Management,temp
MARTIS POOL,MTL,,,,39.3267,-120.1133,5858,TRUCKEE R,NEVADA,US Army Corps of Engineers,temp
BLUE DOOR,BDR,,,,41.056,-120.336,5900,PIT R,LASSEN,US Bureau of Land Management,temp
ROBBS SADDLE,RBB,,,,38.91153,-120.3793,5900,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
SCOTT MOUNTAIN,SCT,,,,41.272,-122.718,5900,SCOTT R,SISKIYOU,US Bureau of Reclamation,temp
TRUCKEE RIVER AT TAHOE CITY,TTC,,,,39.16629,-120.14436,5930,TRUCKEE R,PLACER,US Geological Survey,temp
DONNER LAKE (DWR),DNN,,,,39.333,-120.25,5945,TRUCKEE R,NEVADA,US Geological Survey,temp
SNOW MOUNTAIN,SNM,,,,40.778,-121.782,5950,PIT R,SHASTA,US Bureau of Reclamation,temp
CRANE FLAT LOOKOUT,CFL,,,,37.75,-119.8,5957,MERCED R,MARIPOSA,National Park Service,temp
BURNS CANYON,BNY,,,,34.208,-116.6217,6000,WHITEWATER R,SAN BERNARDINO,CAL FIRE,temp
PLASKETT MEADOWS,PSM,,,,39.725,-122.85,6000,EEL R,GLENN,US Army Corps of Engineers,temp
HIGHLAND LAKES,HIG,,,,41.093,-122.483,6030,TRINITY R,TRINITY,US Bureau of Reclamation,temp
GRASSHOPPER,GRS,,,,40.78167,-120.78445,6050,SUSAN R,LASSEN,CAL FIRE,temp
DOG HOUSE MEADOW,DGH,,,,37.7626,-119.78522,6100,MERCED R,MARIPOSA,CA Dept of Water Resources/Snow Surveys,temp
RATTLESNAKE,RTL,,,,40.125,-121.043,6100,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
SPRATT CREEK,SPT,,,,38.66627,-119.81742,6150,CARSON R,ALPINE,Natural Resources Conservation Service,temp
ADIN MOUNTAIN,ADM,,,,41.237,-120.792,6200,PIT R,MODOC,Natural Resources Conservation Service,temp
HARKNESS FLAT,HRK,,,,40.418,-121.275,6200,FEATHER R,LASSEN,CA Dept of Water Resources/O & M,temp
MIDDLE BOULDER 3,MB3,,,,41.225,-122.811,6200,SCOTT R,SISKIYOU,US Bureau of Reclamation,temp
ROGERS CAMP,RGC,,,,36.108,-118.637,6200,TULE R,TULARE,US Army Corps of Engineers,temp
LAKE TAHOE AT TAHOE CITY,THC,,,,39.182,-120.119,6230,TRUCKEE R,PLACER,CA Dept of Water Resources,temp
FALLEN LEAF LAKE,FLL,,,,38.932,-120.056,6250,LAKE TAHOE,EL DORADO,Natural Resources Conservation Service,temp
MARIPOSA GROVE,MPG,,,,37.5,-119.6,6400,MERCED R,MARIPOSA,CAL FIRE,temp
SHIMMY LAKE,SHM,,,,41.008,-122.8,6400,TRINITY R,TRINITY,US Bureau of Reclamation,temp
TRUCKEE 2,TK2,,,,39.3,-120.194,6400,TRUCKEE R,PLACER,Natural Resources Conservation Service,temp
LOON LAKE (SMUD),LON,,,,38.983,-120.323,6410,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
PIUTES FS,PTE,,,,35.4456,-118.2789,6440,MOJAVE DESERT,KERN,US Bureau of Land Management,temp
BONANZA KING,BNK,,,,41.083,-122.628,6450,TRINITY R,TRINITY,US Bureau of Reclamation,temp
CASE MOUNTAIN,CMA,,,,36.411,-118.809,6450,KAWEAH R,TULARE,US Bureau of Land Management,temp
HULL MTN,HUL,,,,39.53333,-122.94833,6461,EEL R,MENDOCINO,CA Dept of Water Resources/Flood Management,temp
ROBINSON COW CAMP,RCC,,,,39.6219,-120.68,6480,YUBA R,SIERRA,CA Dept of Water Resources/Snow Surveys,temp
BLACK SPRINGS,BLS,,,,38.375,-120.192,6500,STANISLAUS R,CALAVERAS,US Bureau of Reclamation,temp
INDEPENDENCE CREEK,INN,,,,39.494,-120.293,6500,TRUCKEE R,SIERRA,Natural Resources Conservation Service,temp
SHEET IRON 1 REPEATER,SH1,,,,39.4917,-122.7339,6500,SACRAMENTO R,TEHAMA,US Army Corps of Engineers,temp
HUYSINK,HYS,,,,39.282,-120.527,6600,AMERICAN R,PLACER,US Bureau of Reclamation,temp
BRIDGEPORT,BPT,,,,38.272,-119.289,6650,WALKER R,MONO,US Forest Service,temp
GIANT FOREST (USACE),GNF,,,,36.562,-118.765,6650,KAWEAH R,TULARE,US Army Corps of Engineers,temp
SADDLEBACK,SBK,,,,39.475,-120.2025,6670,YUBA R,SIERRA,US Forest Service,temp
EAGLE CREEK,EGL,,,,35.983,-118.641,6700,TULE R,TULARE,US Army Corps of Engineers,temp
LOWER KIBBIE RIDGE,KIB,,,,38.032,-119.877,6700,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources/Snow Surveys,temp
MEDICINE LAKE,MED,,,,41.5869,-121.6131,6700,PIT R,SISKIYOU,US Bureau of Reclamation,temp
RED ROCK MOUNTAIN,RRM,,,,41.023,-122.885,6700,TRINITY R,TRINITY,US Bureau of Reclamation,temp
VAN VLECK,VVL,,,,38.94395,-120.30606,6700,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
GOLD LAKE,GOL,,,,39.67478,-120.61718,6750,FEATHER R,SIERRA,CA Dept of Water Resources/O & M,temp
SAND FLAT,SDF,,,,41.3504,-122.2464,6750,SACRAMENTO R,SISKIYOU,US Bureau of Reclamation,temp
TAHOE CITY CROSS,TCC,,,,39.17144,-120.15466,6750,LAKE TAHOE,PLACER,Natural Resources Conservation Service,temp
WARD CREEK 3,WC3,,,,39.13557,-120.21868,6750,LAKE TAHOE,PLACER,Natural Resources Conservation Service,temp
BEAR TRAP MEADOW,BRM,,,,36.676,-118.858,6800,KAWEAH R,TULARE,US Army Corps of Engineers,temp
PILOT PEAK (DWR),PLP,,,,39.78589,-120.87778,6800,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
JORDAN PEAK,JDP,,,,40.036,-120.2889,6812,FEATHER R,PLUMAS,CA Dept of Water Resources,temp
BIG PINE FLAT,BPF,,,,34.319,-117.013,6861,SANTA ANA R,SAN BERNARDINO,US Forest Service,temp
PANAMINT,PAN,,,,36.117,-117.083,6880,AMARGOSA R,INYO,US Bureau of Land Management,temp
CENT SIERRA SNOW LAB,CSL,,,,39.325,-120.367,6900,YUBA R,NEVADA,Natural Resources Conservation Service,temp
GRAVEYARD MEADOW,GRV,,,,37.465,-119.29,6900,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
GRIZZLY RIDGE,GRZ,,,,39.917,-120.645,6900,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
POISON RIDGE,PSR,,,,37.403,-119.52,6900,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
WRIGHTS LAKE,WRG,,,,38.847,-120.233,6900,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
INDEPENDENCE LAKE NEAR TRUCKEE,INP,,,,39.452,-120.29,6921,TRUCKEE R,SIERRA,US Geological Survey,temp
SIERRA SNOW LAB,SSL,,,,39.319,-120.367,6950,YUBA R,NEVADA,CA Dept of Water Resources/Snow Surveys,temp
HUNTINGTON LAKE (USBR),HNT,,,,37.228,-119.221,7000,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
INDEPENDENCE CAMP,IDC,,,,39.45259,-120.29855,7000,TRUCKEE R,SIERRA,Natural Resources Conservation Service,temp
ROCK CREEK NEAR MAMMOTH LAKES,RKC,,,,37.551,-118.667,7040,OWENS R,MONO,US Forest Service,temp
BLACKS MOUNTAIN,BLA,,,,40.76984,-121.19972,7050,PIT R,LASSEN,CA Dept of Water Resources/Snow Surveys,temp
DISMAL SWAMP,DSS,,,,41.993,-120.165,7050,SURPRISE VALLEY,MODOC,Natural Resources Conservation Service,temp
GIN FLAT,GIN,,,,37.767,-119.773,7050,MERCED R,MARIPOSA,CA Dept of Water Resources/Snow Surveys,temp
CEDAR PASS,CDP,,,,41.583,-120.303,7100,PIT R,MODOC,Natural Resources Conservation Service,temp
DUNCAN,DUN,,,,39.144,-120.509,7100,AMERICAN R,PLACER,US Forest Service,temp
HOSSACK,HSS,,,,36.181,-118.619,7100,TULE R,TULARE,US Army Corps of Engineers,temp
SILVER LAKE,SIL,,,,38.678,-120.118,7100,AMERICAN R,EL DORADO,US Bureau of Reclamation,temp
MORATTINI FLAT,MFT,,,,38.89408,-120.27628,7108,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
CHILKOOT MEADOW,CHM,,,,37.41,-119.49,7150,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
PETERSON FLAT,PET,,,,41.3023,-122.5277,7150,TRINITY R,TRINITY,US Bureau of Reclamation,temp
BLOODS CREEK,BLD,,,,38.45,-120.033,7200,STANISLAUS R,ALPINE,US Bureau of Reclamation,temp
LEAVITT MEADOWS,LVM,,,,38.305,-119.552,7200,WALKER R,MONO,Natural Resources Conservation Service,temp
MEADOW LAKE,MDW,,,,39.40607,-120.50626,7200,YUBA R,NEVADA,CA Dept of Water Resources/Snow Surveys,temp
OVD #1 RAWS NEAR BISHOP 2N,OVD,,,,37.86028,-119.09666,7200,MONO LAKE,MONO,US Bureau of Land Management,temp
QUAKING ASPEN,QUA,,,,36.11754,-118.53994,7200,TULE R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
RUSH CREEK POWER HOUSE,RSH,,,,37.769,-119.131,7240,MONO LAKE,MONO,US Forest Service,temp
KETTLE ROCK,KTL,,,,40.14,-120.715,7300,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
MERCED LAKE,MLK,,,,37.7386,-119.4057,7300,MERCED R,MARIPOSA,CA Dept of Water Resources/Snow Surveys,temp
LOST CORNER MOUNTAIN,LCR,,,,39.017,-120.215,7500,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
RUBICON PEAK 2,RP2,,,,39.001,-120.14,7500,LAKE TAHOE,EL DORADO,Natural Resources Conservation Service,temp
PARK RIDGE,PKR,,,,36.7242,-118.9425,7540,KINGS R,FRESNO,National Park Service,temp
BRECKENRIDGE,BKE,,,,35.4506,-118.5839,7548,KERN R,KERN,US Bureau of Land Management,temp
TAMARACK SUMMIT,TMR,,,,37.165,-119.2,7550,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
DEVIL'S POSTPILE,DPO,,,,37.6294,-119.0847,7569,SAN JOAQUIN R,MADERA,CA Dept of Water Resources/Snow Surveys,temp
ALPHA (SMUD),ALP,,,,38.80419,-120.21565,7600,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
BIG MEADOWS (DWR),BIM,,,,36.71537,-118.84343,7600,KINGS R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
CRESTVIEW,CVW,,,,37.745,-118.983,7600,OWENS R,MONO,US Forest Service,temp
FORNI RIDGE,FRN,,,,38.805,-120.213,7600,AMERICAN R,EL DORADO,US Bureau of Reclamation,temp
BEACH MEADOWS,BCH,,,,36.12609,-118.29346,7650,KERN R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
PARADISE MEADOW,PDS,,,,38.047,-119.67,7650,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources/Snow Surveys,temp
STANISLAUS MEADOW,SLM,,,,38.5055,-119.9373,7750,STANISLAUS R,ALPINE,US Bureau of Reclamation,temp
ECHO PEAK 5,EP5,,,,38.849,-120.079,7800,LAKE TAHOE,EL DORADO,Natural Resources Conservation Service,temp
GREEN MOUNTAIN,GRM,,,,37.555,-119.238,7900,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
MUD LAKE,MDL,,,,38.615,-120.14,7900,MOKELUMNE R,AMADOR,Sacramento Municipal Utility District,temp
POISON FLAT,PSN,,,,38.501,-119.631,7900,CARSON R,ALPINE,Natural Resources Conservation Service,temp
WHITE WOLF,WHW,,,,37.8595,-119.6516,7900,TUOLUMNE R,TUOLUMNE,National Park Service,temp
BLUE LAKES,BLK,,,,38.613,-119.931,8000,MOKELUMNE R,ALPINE,Natural Resources Conservation Service,temp
CAPLES LAKE,CAP,,,,38.71,-120.042,8000,AMERICAN R,ALPINE,US Bureau of Reclamation,temp
HAGANS MEADOW,HGM,,,,38.853,-119.94,8000,LAKE TAHOE,EL DORADO,Natural Resources Conservation Service,temp
MARLETTE LAKE,MRL,,,,39.173,-119.905,8000,LAKE TAHOE,State of Nevada,Natural Resources Conservation Service,temp
FORESTDALE CREEK,FDC,,,,38.6824,-119.9597,8017,CARSON R,ALPINE,Natural Resources Conservation Service,temp
LOWER RELIEF VALLEY,REL,,,,38.24292,-119.76292,8100,STANISLAUS R,TUOLUMNE,CA Dept of Water Resources/Snow Surveys,temp
SUGARLOAF,SGL,,,,36.72667,-118.675,8120,KINGS R,TULARE,National Park Service,temp
BURNSIDE LAKE,BSK,,,,38.7194,-119.8942,8129,CARSON R,ALPINE,Natural Resources Conservation Service,temp
PATTERSON MTN REPEATER,PMR,,,,36.9564,-119.0508,8140,KINGS R,FRESNO,US Army Corps of Engineers,temp
TENAYA LAKE,TNY,,,,37.838,-119.448,8150,MERCED R,MARIPOSA,CA Dept of Water Resources,temp
BLACKROCK,BKK,,,,36.093,-118.261,8200,KERN R,TULARE,US Forest Service,temp
SQUAW VALLEY GOLD COAST,SQV,,,,39.194,-120.276,8200,TRUCKEE R,PLACER,Natural Resources Conservation Service,temp
OSTRANDER LAKE,STR,,,,37.637,-119.55,8200,MERCED R,MARIPOSA,CA Dept of Water Resources/Snow Surveys,temp
BEAR PEAK,BRP,,,,35.884,-118.052,8228,KERN R,TULARE,US Bureau of Land Management,temp
LOWER LASSEN PEAK,LLP,,,,40.4666,-121.50811,8250,FEATHER R,SHASTA,Pacific Gas and Electric Company-Rogers Flat,temp
CASA VIEJA MEADOWS,CSV,,,,36.19844,-118.27163,8300,KERN R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
MONITOR PASS,MNT,,,,38.67,-119.615,8350,CARSON R,ALPINE,Natural Resources Conservation Service,temp
CARSON PASS,CXS,,,,38.6924,-120.0021,8353,AMERICAN R,ALPINE,Natural Resources Conservation Service,temp
GIANELLI MEADOW,GNL,,,,38.20431,-119.89319,8400,STANISLAUS R,TUOLUMNE,US Bureau of Reclamation,temp
HORSE MEADOW,HRS,,,,38.158,-119.662,8400,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources/Snow Surveys,temp
INDEPENDENCE LAKE (SCS),IDP,,,,39.435,-120.322,8450,TRUCKEE R,NEVADA,Natural Resources Conservation Service,temp
HORSE MEADOW (NRCS),HOR,,,,38.8365,-119.8873,8557,CARSON R,ALPINE,Natural Resources Conservation Service,temp
LAKE LOIS,LOS,,,,38.925,-120.197,8600,AMERICAN R,EL DORADO,CA Dept of Water Resources/Snow Surveys,temp
TUOLUMNE MEADOWS,TUM,,,,37.873,-119.35,8600,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources,temp
BIG MEADOWS (SCS),BMW,,,,39.458,-119.946,8700,TRUCKEE R,State of Nevada,Natural Resources Conservation Service,temp
EBBETTS PASS,EBB,,,,38.561,-119.808,8700,CARSON R,ALPINE,Natural Resources Conservation Service,temp
HIGHLAND MEADOW,HHM,,,,38.48731,-119.80575,8700,MOKELUMNE R,ALPINE,CA Dept of Water Resources/Snow Surveys,temp
SNOW FLAT,SNF,,,,37.827,-119.497,8700,MERCED R,MARIPOSA,Yosemite National Park,temp
SCHNEIDERS,SCN,,,,38.747,-120.068,8750,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
SONORA PASS BRIDGE,SPS,,,,38.318,-119.601,8750,WALKER R,MONO,Natural Resources Conservation Service,temp
HEAVENLY VALLEY,HVN,,,,38.929,-119.917,8800,LAKE TAHOE,EL DORADO,Natural Resources Conservation Service,temp
MOUNT ROSE SKI AREA,MSK,,,,39.326,-119.902,8900,LAKE TAHOE,State of Nevada,Natural Resources Conservation Service,temp
TUNNEL GUARD STATION,TUN,,,,36.367,-118.288,8900,KERN R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
WET MEADOWS,WTM,,,,36.348,-118.572,8950,KERN R,TULARE,US Army Corps of Engineers,temp
WEST WOODCHUCK MEADOW,WWC,,,,37.03,-118.918,9100,KINGS R,FRESNO,US Army Corps of Engineers,temp
PASCOES,PSC,,,,35.967,-118.35,9150,KERN R,TULARE,US Army Corps of Engineers,temp
KAISER POINT,KSP,,,,37.3,-119.1,9200,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
LOBDELL LAKE,LBD,,,,38.44,-119.377,9200,WALKER R,MONO,Natural Resources Conservation Service,temp
SLIDE CANYON,SLI,,,,38.092,-119.43,9200,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources,temp
TUOLUMNE MEADOWS (NPS),TMM,,,,37.868,-119.319,9200,TUOLUMNE R,TUOLUMNE,National Park Service,temp
JUNE MOUNTAIN WEATHER PLOT,JMW,,,,37.75441,-119.07781,9220,MONO LAKE,MODOC,Southern California Edison Company-Bishop,temp
DEADMAN CREEK,DDM,,,,38.3316,-119.65411,9250,STANISLAUS R,TUOLUMNE,CA Dept of Water Resources/Flood Management,temp
MAMMOTH PASS (USBR),MHP,,,,37.61,-119.033,9300,OWENS R,MONO,US Bureau of Reclamation,temp
VIRGINIA LAKES RIDGE,VRG,,,,38.077,-119.234,9300,WALKER R,MONO,Natural Resources Conservation Service,temp
SUMMIT MEADOW,SDW,,,,38.3975,-119.5356,9313,WALKER R,MONO,Natural Resources Conservation Service,temp
PARADISE REPEATER,PRP,,,,36.4747,-118.6992,9370,KAWEAH R,TULARE,US Army Corps of Engineers,temp
AGNEW PASS,AGP,,,,37.7244,-119.143,9450,SAN JOAQUIN R,MADERA,CA Dept of Water Resources/Flood Management,temp
FAREWELL GAP,FRW,,,,36.41509,-118.5789,9500,KAWEAH R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
LEAVITT LAKE,LVT,,,,38.282,-119.621,9600,WALKER R,MONO,Natural Resources Conservation Service,temp
SOUTH LAKE,SLK,,,,37.1759,-118.56266,9600,OWENS R,INYO,CA Dept of Water Resources/Snow Surveys,temp
ELLERY LAKE,ERY,,,,37.93497,-119.2322,9645,MONO LAKE,MONO,CA Dept of Water Resources/Snow Surveys,temp
ROCK CREEK LAKES,RCK,,,,37.4573,-118.73507,9700,OWENS R,INYO,CA Dept of Water Resources/Snow Surveys,temp
UPPER BURNT CORRAL,UBC,,,,37.18356,-118.93777,9700,KINGS R,FRESNO,CA Dept of Water Resources/Snow Surveys,temp
BIG PINE CREEK,BGP,,,,37.12786,-118.47816,9800,OWENS R,INYO,CA Dept of Water Resources/Snow Surveys,temp
DANA MEADOWS,DAN,,,,37.897,-119.257,9800,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources/Snow Surveys,temp
MITCHELL MEADOW,MTM,,,,36.737,-118.712,9900,KINGS R,TULARE,US Army Corps of Engineers,temp
SHERMAN PEAK REPEATER,SR1,,,,36.01,-118.39,9900,TULARE LAKE WESTSIDE,TULARE,US Army Corps of Engineers,temp
TIOGA PASS ENTRY STATION,TES,,,,37.91085,-119.25845,9945,TUOLUMNE R,TUOLUMNE,CA Dept of Water Resources,temp
VOLCANIC KNOB,VLC,,,,37.388,-118.903,10050,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
COTTONWOOD LAKES,CWD,,,,36.48383,-118.17755,10150,OWENS R,INYO,CA Dept of Water Resources/Snow Surveys,temp
JUNE MOUNTAIN SUMMIT,JMS,,,,37.74,-119.07272,10153,MONO LAKE,MODOC,Southern California Edison Company-Bishop,temp
SAWMILL,SWM,,,,37.16193,-118.56252,10200,OWENS R,INYO,CA Dept of Water Resources/Snow Surveys,temp
BLACKCAP BASIN,BCB,,,,37.067,-118.77,10300,KINGS R,FRESNO,CA Dept of Water Resources/Snow Surveys,temp
CHAGOOPA PLATEAU,CHP,,,,36.49714,-118.44672,10300,KERN R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
STATE LAKES,STL,,,,36.927,-118.574,10300,KINGS R,FRESNO,US Army Corps of Engineers,temp
CHARLOTTE LAKE,CRL,,,,36.77773,-118.42661,10400,KINGS R,FRESNO,CA Dept of Water Resources/Snow Surveys,temp
CRABTREE MEADOW,CBT,,,,36.56368,-118.34795,10700,KERN R,TULARE,CA Dept of Water Resources/Snow Surveys,temp
GEM PASS,GEM,,,,37.78,-119.17,10750,MONO LAKE,MONO,CA Dept of Water Resources/Snow Surveys,temp
PIUTE LAKE,PTL,,,,37.24,-118.687,10800,SAN JOAQUIN R,FRESNO,CA Dept of Water Resources,temp
BISHOP PASS,BSH,,,,37.1,-118.557,11200,KINGS R,FRESNO,CA Dept of Water Resources/Snow Surveys,temp
UPPER TYNDALL CREEK,UTY,,,,36.65,-118.397,11400,KERN R,TULARE,US Army Corps of Engineers,temp
BIG FLAT,BFL,,,,41.08,-122.942,5100,,,,snow
CROWDER FLAT,CWF,,,,41.893,-120.752,5100,,,,snow
NOEL SPRING,NLS,,,,39.538,-122.667,5100,,,,snow
FOUR TREES,FOR,,,,39.813,-121.321,5150,,,,snow
ROBBS POWERHOUSE,RBP,,,,38.903,-120.375,5150,,,,snow
BLUE CANYON,BLC,,,,39.276,-120.708,5280,,,,snow
STOUTS MEADOW,STM,,,,41.17,-121.938,5400,,,,snow
GREEK STORE,GKS,,,,39.075,-120.558,5600,,,,snow
MUMBO BASIN,MUM,,,,41.197,-122.523,5650,,,,snow
SLATE CREEK,SLT,,,,41.045,-122.478,5700,,,,snow
BUCKS LAKE,BKL,,,,39.85,-121.242,5750,,,,snow
ROBBS SADDLE,RBB,,,,38.912,-120.378,5900,,,,snow
SCOTT MOUNTAIN,SCT,,,,41.272,-122.718,5900,,,,snow
SNOW MOUNTAIN,SNM,,,,40.778,-121.782,5950,,,,snow
HIGHLAND LAKES,HIG,,,,41.093,-122.483,6030,,,,snow
RATTLESNAKE,RTL,,,,40.125,-121.043,6100,,,,snow
SPRATT CREEK,SPT,,,,38.667,-119.818,6150,,,,snow
ADIN MOUNTAIN,ADM,,,,41.237,-120.792,6200,,,,snow
HARKNESS FLAT,HRK,,,,40.418,-121.275,6200,,,,snow
MIDDLE BOULDER 3,MB3,,,,41.225,-122.811,6200,,,,snow
FALLEN LEAF LAKE,FLL,,,,38.932,-120.056,6250,,,,snow
SHIMMY LAKE,SHM,,,,41.008,-122.8,6400,,,,snow
TRUCKEE 2,TK2,,,,39.3,-120.194,6400,,,,snow
BONANZA KING,BNK,,,,41.083,-122.628,6450,,,,snow
ROBINSON COW CAMP,RCC,,,,39.623,-120.678,6480,,,,snow
BLACK SPRINGS,BLS,,,,38.375,-120.192,6500,,,,snow
HUMBUG,HMB,,,,40.115,-121.368,6500,,,,snow
INDEPENDENCE CREEK,INN,,,,39.494,-120.293,6500,,,,snow
HUYSINK,HYS,,,,39.282,-120.527,6600,,,,snow
GIANT FOREST (USACE),GNF,,,,36.562,-118.765,6650,,,,snow
LOWER KIBBIE RIDGE,KIB,,,,38.032,-119.877,6700,,,,snow
MEDICINE LAKE,MED,,,,41.587,-121.613,6700,,,,snow
RED ROCK MOUNTAIN,RRM,,,,41.023,-122.885,6700,,,,snow
VAN VLECK,VVL,,,,38.945,-120.305,6700,,,,snow
GOLD LAKE,GOL,,,,39.675,-120.615,6750,,,,snow
SAND FLAT,SDF,,,,41.35,-122.246,6750,,,,snow
TAHOE CITY CROSS,TCC,,,,39.172,-120.154,6750,,,,snow
WARD CREEK 3,WC3,,,,39.137,-120.22,6750,,,,snow
PILOT PEAK (DWR),PLP,,,,39.786,-120.875,6800,,,,snow
CENT SIERRA SNOW LAB,CSL,,,,39.325,-120.367,6900,,,,snow
GRAVEYARD MEADOW,GRV,,,,37.465,-119.29,6900,,,,snow
GRIZZLY RIDGE,GRZ,,,,39.917,-120.645,6900,,,,snow
POISON RIDGE,PSR,,,,37.403,-119.52,6900,,,,snow
HUNTINGTON LAKE (USBR),HNT,,,,37.228,-119.221,7000,,,,snow
INDEPENDENCE CAMP,IDC,,,,39.454,-120.299,7000,,,,snow
BLACKS MOUNTAIN,BLA,,,,40.77,-121.198,7050,,,,snow
DISMAL SWAMP,DSS,,,,41.993,-120.165,7050,,,,snow
GIN FLAT,GIN,,,,37.767,-119.773,7050,,,,snow
CEDAR PASS,CDP,,,,41.583,-120.303,7100,,,,snow
SILVER LAKE,SIL,,,,38.678,-120.118,7100,,,,snow
CHILKOOT MEADOW,CHM,,,,37.41,-119.49,7150,,,,snow
PETERSON FLAT,PET,,,,41.302,-122.528,7150,,,,snow
BLOODS CREEK,BLD,,,,38.45,-120.033,7200,,,,snow
LEAVITT MEADOWS,LVM,,,,38.305,-119.552,7200,,,,snow
MEADOW LAKE,MDW,,,,39.417,-120.508,7200,,,,snow
QUAKING ASPEN,QUA,,,,36.122,-118.545,7200,,,,snow
KETTLE ROCK,KTL,,,,40.14,-120.715,7300,,,,snow
RUBICON PEAK 2,RP2,,,,39.001,-120.14,7500,,,,snow
TAMARACK SUMMIT,TMR,,,,37.165,-119.2,7550,,,,snow
DEVIL'S POSTPILE,DPO,,,,37.629,-119.085,7569,,,,snow
ALPHA (SMUD),ALP,,,,38.805,-120.215,7600,,,,snow
BIG MEADOWS (DWR),BIM,,,,36.717,-118.842,7600,,,,snow
FORNI RIDGE,FRN,,,,38.805,-120.213,7600,,,,snow
BEACH MEADOWS,BCH,,,,36.127,-118.293,7650,,,,snow
PARADISE MEADOW,PDS,,,,38.047,-119.67,7650,,,,snow
STANISLAUS MEADOW,SLM,,,,38.505,-119.937,7750,,,,snow
ECHO PEAK 5,EP5,,,,38.849,-120.079,7800,,,,snow
GREEN MOUNTAIN,GRM,,,,37.555,-119.238,7900,,,,snow
POISON FLAT,PSN,,,,38.501,-119.631,7900,,,,snow
WHITE WOLF,WHW,,,,37.859,-119.652,7900,,,,snow
MUD LAKE,MDL,,,,38.615,-120.14,7900,,,,snow
BLUE LAKES,BLK,,,,38.613,-119.931,8000,,,,snow
CAPLES LAKE,CAP,,,,38.71,-120.042,8000,,,,snow
HAGANS MEADOW,HGM,,,,38.853,-119.94,8000,,,,snow
MARLETTE LAKE,MRL,,,,39.173,-119.905,8000,,,,snow
FORESTDALE CREEK,FDC,,,,38.682,-119.96,8017,,,,snow
LOWER RELIEF VALLEY,REL,,,,38.243,-119.758,8100,,,,snow
BURNSIDE LAKE,BSK,,,,38.719,-119.894,8129,,,,snow
TENAYA LAKE,TNY,,,,37.838,-119.448,8150,,,,snow
SQUAW VALLEY GOLD COAST,SQV,,,,39.194,-120.276,8200,,,,snow
OSTRANDER LAKE,STR,,,,37.637,-119.55,8200,,,,snow
LOWER LASSEN PEAK,LLP,,,,40.468,-121.507,8250,,,,snow
CASA VIEJA MEADOWS,CSV,,,,36.2,-118.268,8300,,,,snow
MONITOR PASS,MNT,,,,38.67,-119.615,8350,,,,snow
CARSON PASS,CXS,,,,38.692,-120.002,8353,,,,snow
GIANELLI MEADOW,GNL,,,,38.205,-119.892,8400,,,,snow
HORSE MEADOW,HRS,,,,38.158,-119.662,8400,,,,snow
INDEPENDENCE LAKE (SCS),IDP,,,,39.435,-120.322,8450,,,,snow
HORSE MEADOW (NRCS),HOR,,,,38.837,-119.887,8557,,,,snow
